partition,node,split,label,n,sequences,largest_group,largest_share
dirichlet_0.5_sub0.05,node_a,val,No_Fire,24,16,338,0.125
dirichlet_0.5_sub0.05,node_b,test,Fire,3620,25,102,0.6423
dirichlet_0.5_sub0.05,node_b,test,No_Fire,2649,43,236,0.302
dirichlet_0.5_sub0.05,node_b,val,Fire,3619,24,0,0.373
dirichlet_0.5_sub0.05,node_b,val,No_Fire,2649,41,202,0.3851
dirichlet_0.5_sub0.05,node_c,test,Fire,134,19,153,0.306
dirichlet_0.5_sub0.05,node_c,test,No_Fire,3,3,singleton_102,0.3333
dirichlet_0.5_sub0.05,node_c,val,Fire,134,18,70,0.3507
dirichlet_0.5_sub0.05,node_c,val,No_Fire,3,3,singleton_109,0.3333
dirichlet_1,node_a,test,Fire,443,20,181,0.5327
dirichlet_1,node_a,test,No_Fire,1951,25,236,0.41
dirichlet_1,node_a,val,Fire,442,21,61,0.3778
dirichlet_1,node_a,val,No_Fire,1951,25,202,0.5228
dirichlet_1,node_b,test,Fire,2839,21,102,0.819
dirichlet_1,node_b,test,No_Fire,363,21,102,0.6364
dirichlet_1,node_b,val,Fire,2839,21,91,0.4051
dirichlet_1,node_b,val,No_Fire,362,22,327,0.6271
dirichlet_1,node_c,test,Fire,1242,22,71,0.4638
dirichlet_1,node_c,test,No_Fire,363,21,356,0.8072
dirichlet_1,node_c,val,Fire,1242,20,90,0.8357
dirichlet_1,node_c,val,No_Fire,362,23,145,0.2762
dirichlet_1_sub0.01,node_a,test,Fire,443,20,181,0.5327
dirichlet_1_sub0.01,node_a,test,No_Fire,1951,25,236,0.41
dirichlet_1_sub0.01,node_a,val,Fire,442,21,61,0.3778
dirichlet_1_sub0.01,node_a,val,No_Fire,1951,25,202,0.5228
dirichlet_1_sub0.01,node_b,test,Fire,2839,21,102,0.819
dirichlet_1_sub0.01,node_b,test,No_Fire,363,21,102,0.6364
dirichlet_1_sub0.01,node_b,val,Fire,2839,21,91,0.4051
dirichlet_1_sub0.01,node_b,val,No_Fire,362,22,327,0.6271
dirichlet_1_sub0.01,node_c,test,Fire,1242,22,71,0.4638
dirichlet_1_sub0.01,node_c,test,No_Fire,363,21,356,0.8072
dirichlet_1_sub0.01,node_c,val,Fire,1242,20,90,0.8357
dirichlet_1_sub0.01,node_c,val,No_Fire,362,23,145,0.2762
dirichlet_1_sub0.05,node_a,test,Fire,443,20,181,0.5327
dirichlet_1_sub0.05,node_a,test,No_Fire,1951,25,236,0.41
dirichlet_1_sub0.05,node_a,val,Fire,442,21,61,0.3778
dirichlet_1_sub0.05,node_a,val,No_Fire,1951,25,202,0.5228
dirichlet_1_sub0.05,node_b,test,Fire,2839,21,102,0.819
dirichlet_1_sub0.05,node_b,test,No_Fire,363,21,102,0.6364
dirichlet_1_sub0.05,node_b,val,Fire,2839,21,91,0.4051
dirichlet_1_sub0.05,node_b,val,No_Fire,362,22,327,0.6271
dirichlet_1_sub0.05,node_c,test,Fire,1242,22,71,0.4638
dirichlet_1_sub0.05,node_c,test,No_Fire,363,21,356,0.8072
dirichlet_1_sub0.05,node_c,val,Fire,1242,20,90,0.8357
dirichlet_1_sub0.05,node_c,val,No_Fire,362,23,145,0.2762
iid,node_a,test,Fire,1508,21,71,0.382
iid,node_a,test,No_Fire,1011,2,236,0.7913
iid,node_a,val,Fire,1508,23,157,0.3886
iid,node_a,val,No_Fire,832,33,157,0.3606
iid,node_b,test,Fire,1508,10,85,0.693
iid,node_b,test,No_Fire,818,34,252,0.3839
iid,node_b,val,Fire,1508,21,91,0.7626
iid,node_b,val,No_Fire,818,34,203,0.5403
iid,node_c,test,Fire,1508,22,90,0.6883
iid,node_c,test,No_Fire,892,24,271,0.3969
iid,node_c,val,Fire,1508,21,89,0.7898
iid,node_c,val,No_Fire,892,23,344,0.5639
iid_sub0.01,node_a,test,Fire,1508,21,71,0.382
iid_sub0.01,node_a,test,No_Fire,1011,2,236,0.7913
iid_sub0.01,node_a,val,Fire,1508,23,157,0.3886
iid_sub0.01,node_a,val,No_Fire,832,33,157,0.3606
iid_sub0.01,node_b,test,Fire,1508,10,85,0.693
iid_sub0.01,node_b,test,No_Fire,818,34,252,0.3839
iid_sub0.01,node_b,val,Fire,1508,21,91,0.7626
iid_sub0.01,node_b,val,No_Fire,818,34,203,0.5403
iid_sub0.01,node_c,test,Fire,1508,22,90,0.6883
iid_sub0.01,node_c,test,No_Fire,892,24,271,0.3969
iid_sub0.01,node_c,val,Fire,1508,21,89,0.7898
iid_sub0.01,node_c,val,No_Fire,892,23,344,0.5639
iid_sub0.05,node_a,test,Fire,1508,21,71,0.382
iid_sub0.05,node_a,test,No_Fire,1011,2,236,0.7913
iid_sub0.05,node_a,val,Fire,1508,23,157,0.3886
iid_sub0.05,node_a,val,No_Fire,832,33,157,0.3606
iid_sub0.05,node_b,test,Fire,1508,10,85,0.693
iid_sub0.05,node_b,test,No_Fire,818,34,252,0.3839
iid_sub0.05,node_b,val,Fire,1508,21,91,0.7626
iid_sub0.05,node_b,val,No_Fire,818,34,203,0.5403
iid_sub0.05,node_c,test,Fire,1508,22,90,0.6883
iid_sub0.05,node_c,test,No_Fire,892,24,271,0.3969
iid_sub0.05,node_c,val,Fire,1508,21,89,0.7898
iid_sub0.05,node_c,val,No_Fire,892,23,344,0.5639
non_iid_label,node_a,test,Fire,1920,22,85,0.5443
non_iid_label,node_a,test,No_Fire,480,22,252,0.6542
non_iid_label,node_a,val,Fire,1920,22,89,0.6203
non_iid_label,node_a,val,No_Fire,480,23,131,0.3396
non_iid_label,node_b,test,Fire,2122,31,90,0.4892
non_iid_label,node_b,test,No_Fire,276,22,126,0.2971
non_iid_label,node_b,val,Fire,2123,33,91,0.5417
non_iid_label,node_b,val,No_Fire,276,22,137,0.3551
non_iid_label,node_c,test,Fire,480,23,7,0.4562
non_iid_label,node_c,test,No_Fire,1920,26,236,0.4167
non_iid_label,node_c,val,Fire,480,18,136,0.8625
non_iid_label,node_c,val,No_Fire,1920,25,202,0.5312
non_iid_label_sub0.01,node_a,test,Fire,1920,22,85,0.5443
non_iid_label_sub0.01,node_a,test,No_Fire,480,22,252,0.6542
non_iid_label_sub0.01,node_a,val,Fire,1920,22,89,0.6203
non_iid_label_sub0.01,node_a,val,No_Fire,480,23,131,0.3396
non_iid_label_sub0.01,node_b,test,Fire,2122,31,90,0.4892
non_iid_label_sub0.01,node_b,test,No_Fire,276,22,126,0.2971
non_iid_label_sub0.01,node_b,val,Fire,2123,33,91,0.5417
non_iid_label_sub0.01,node_b,val,No_Fire,276,22,137,0.3551
non_iid_label_sub0.01,node_c,test,Fire,480,23,7,0.4562
non_iid_label_sub0.01,node_c,test,No_Fire,1920,26,236,0.4167
non_iid_label_sub0.01,node_c,val,Fire,480,18,136,0.8625
non_iid_label_sub0.01,node_c,val,No_Fire,1920,25,202,0.5312
non_iid_label_sub0.05,node_a,test,Fire,1920,22,85,0.5443
non_iid_label_sub0.05,node_a,test,No_Fire,480,22,252,0.6542
non_iid_label_sub0.05,node_a,val,Fire,1920,22,89,0.6203
non_iid_label_sub0.05,node_a,val,No_Fire,480,23,131,0.3396
non_iid_label_sub0.05,node_b,test,Fire,2122,31,90,0.4892
non_iid_label_sub0.05,node_b,test,No_Fire,276,22,126,0.2971
non_iid_label_sub0.05,node_b,val,Fire,2123,33,91,0.5417
non_iid_label_sub0.05,node_b,val,No_Fire,276,22,137,0.3551
non_iid_label_sub0.05,node_c,test,Fire,480,23,7,0.4562
non_iid_label_sub0.05,node_c,test,No_Fire,1920,26,236,0.4167
non_iid_label_sub0.05,node_c,val,Fire,480,18,136,0.8625
non_iid_label_sub0.05,node_c,val,No_Fire,1920,25,202,0.5312
